gm,c1,c2
Gm01.59542,-0.10454763,0.5418025432
Gm01.61247,0.05273817481,0.4414584445
Gm01.65543,-0.1525697595,0.03275785156
Gm01.123300,-0.04500042015,0.3656638313
Gm01.124084,-0.3457319172,0.00809585445
Gm01.125791,-0.03338728901,0.8481351098
Gm01.146270,0.0531200194,0.7735017548
Gm01.147842,0.08881893113,0.2240913134
Gm01.149392,-0.1103209669,0.5867030921
Gm01.149434,-0.2356219726,0.05525587949
Gm01.149564,-0.08337444742,0.6940578136
Gm01.170572,0.1187417424,0.4695970793
Gm01.170621,-0.1621664718,0.3635591545
Gm01.186492,0.1627127726,0.01345385889
Gm01.186774,0.004748618694,0.9263829019
Gm01.187601,0.2864292831,0.07887298196
Gm01.207668,0.08313532892,0.2149828779
Gm01.209406,-0.1310298192,0.5713573211
Gm01.209998,-0.04577412585,0.5340584177
Gm01.210116,-0.1998558016,0.1195039824
Gm01.230469,0.2444809547,0.07913886598
Gm01.231778,0.1120397892,0.314293721
Gm01.232898,-0.1436207343,0.2419212355
Gm01.234302,-0.3301523541,0.1107418798
Gm01.244190,-0.233017044,0.2574475182
Gm01.251182,0.1201780019,0.07803625815
Gm01.251239,-0.1627415295,0.2084096644
Gm01.251462,-0.2000699903,0.2964853042
Gm01.251967,-0.009739657626,0.8881064485
Gm01.253555,0.02849929129,0.5854921292
Gm01.276779,-0.2253097382,0.02763969054
Gm01.277455,0.07498337457,0.2287907193
Gm01.283156,0.003156008193,0.9479919415
Gm01.293366,-0.30256387,0.01122795566
Gm01.296058,0.1328528808,0.3213804384
Gm01.297049,-0.07934314849,0.1808670399
Gm01.333697,-0.142051167,0.234883043
Gm01.340040,-0.1308522334,0.5494802076
Gm01.340073,0.007332070261,0.8883294216
Gm01.344307,-0.03651496176,0.6167379627
Gm01.349600,-0.0156731391,0.9447529881
Gm01.363632,-0.01611264965,0.843617184
Gm01.363977,0.3899654899,0.01775135667
Gm01.364275,0.1439273775,0.2400164865
Gm01.364662,0.02030637644,0.9013094262
Gm01.378527,0.03830605231,0.3984091498
Gm01.385134,0.07231093387,0.5898215132
Gm01.385466,0.02267859926,0.6478498349
Gm01.392244,0.03269009385,0.5145721384
Gm01.413021,0.2538720922,0.0324019283
Gm01.415778,0.0151302255,0.9289249021
Gm01.420926,0.1389906222,0.1785459585
Gm01.465664,0.2112695284,0.2528022629
Gm01.465757,0.06786009909,0.3167382165
Gm01.506205,-0.07915998905,0.1167157519
Gm01.545223,0.08126146577,0.3935831563
Gm01.549125,-0.2006544773,0.1941131451
Gm01.571501,0.0411960759,0.6028589898
Gm01.571828,-0.05392256089,0.623096062
Gm01.576777,0.1339379472,0.245548666
Gm01.577448,-0.01708822655,0.8589971758
Gm01.597542,-0.1945252086,0.3378701885
Gm01.609981,0.1323285818,0.2018480292
